slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
10,17,Jung18_z6_GND_28438,189.177979,62.223713,0,0,0.001000000047497451,1,2000,TARGET,7699.033945028018,10221.63299133984,B
58,92,z6_GND_28438,189.177979,62.223713,0,0,0.001000000047497451,3,2000,TARGET,7699.033945028018,10221.63299133984,B
251,345,3DHST_4809,189.27586365,62.16165543,0,0,0.001000000047497451,6,2000,TARGET,7147.940310746333,9670.784557165558,B
877,1766,z5_GND_4070,189.255096,62.179371,0,0,0.001000000047497451,5,2000,TARGET,7291.590691147223,9814.370961460498,B
551,751,3DHST_14830,189.20622253,62.21534729,0,0,0.001000000047497451,6,2000,TARGET,7595.839904373156,10118.484739792879,B
70,129,z7_GND_34860,189.228882,62.20401,0,0,0.001000000047497451,3,2000,TARGET,7486.052383916372,10008.746038624136,B
55,89,z5_GND_32273,189.226334,62.211914,0,0,0.001000000047497451,3,2000,TARGET,7537.147263081518,10059.818128750037,B
925,1906,z8_GND_41247,189.27951,62.179752,0,0,0.001000000047497451,5,2000,TARGET,7246.860291226785,9769.660318558674,B
8,13,Stark11_33_17705,189.208191,62.23214,0,0,0.001000000047497451,1,2000,TARGET,7690.182193284511,10212.784911094484,B
425,565,3DHST_9941,189.27389526,62.19179153,0,0,0.001000000047497451,6,2000,TARGET,7328.205567155586,9850.969359988623,B
14,26,3DHST_16990,189.227005,62.22645569,0,0,0.001000000047497451,2,2000,TARGET,7620.9688001612085,10143.602301327277,B
37,70,z6_GND_2469,189.31723,62.169769,0,0,0.001000000047497451,3,2000,TARGET,7116.036620092395,9638.894823535753,B
57,91,z6_GND_27453,189.237427,62.228119,0,0,0.001000000047497451,3,2000,TARGET,7610.856750896222,10133.49475505098,B
38,71,z7_GND_39528,189.306519,62.18745,0,0,0.001000000047497451,3,2000,TARGET,7240.46126644311,9763.264120558604,B
389,517,3DHST_9005,189.31364441,62.18704605,0,0,0.001000000047497451,6,2000,TARGET,7224.533782119748,9747.34374579693,B
54,88,z6_GND_34516,189.29245,62.205074,0,0,0.001000000047497451,3,2000,TARGET,7370.909065810458,9893.653914470035,B
69,128,z7_GND_35507,189.304443,62.201679,0,0,0.001000000047497451,3,2000,TARGET,7328.183870142995,9850.947769848888,B
349,463,3DHST_7740,189.34484863,62.1802597,0,0,0.001000000047497451,6,2000,TARGET,7125.334334522193,9648.188563265217,B
59,93,z6_GND_19665,189.248718,62.248444,0,0,0.001000000047497451,3,2000,TARGET,7708.912054567288,10231.506625130869,B
416,552,3DHST_9710,189.34005737,62.19063187,0,0,0.001000000047497451,6,2000,TARGET,7195.659421143515,9718.482443146313,B
39,72,z6_GND_35647,189.329865,62.200844,0,0,0.001000000047497451,3,2000,TARGET,7275.223318302303,9798.010981651487,B
17,30,3DHST_21290,189.26806641,62.24618149,0,0,0.001000000047497451,2,2000,TARGET,7659.161542584562,10181.778408827759,B
859,1747,z5_GND_28981,189.310776,62.221935,0,0,0.001000000047497451,5,2000,TARGET,7435.768484384067,9958.484840445215,B
849,1737,z5_GND_37205,189.355759,62.195465,0,0,0.001000000047497451,5,2000,TARGET,7194.684402871516,9717.508116264444,B
2,2,Hu10_z6_11,189.365982,62.196171,0,0,0.001000000047497451,1,2000,TARGET,7179.689276300122,9702.519822550928,B
913,1855,z5_GND_37006,189.365982,62.196171,0,0,0.001000000047497451,5,2000,TARGET,7179.689276300122,9702.519822550928,B
11,18,Hu10_z7_1,189.358261,62.207642,0,0,0.001000000047497451,1,2000,TARGET,7262.171914536293,9784.965903427148,B
852,1740,z5_GND_32413,189.357834,62.211445,0,0,0.001000000047497451,5,2000,TARGET,7285.533377806794,9808.317060301613,B
42,75,z6_GND_25736,189.335617,62.231339,0,0,0.001000000047497451,3,2000,TARGET,7444.998459907176,9967.711312884328,B
43,76,z6_GND_25400,189.341888,62.232079,0,0,0.001000000047497451,3,2000,TARGET,7437.722942146208,9960.439176632477,B
854,1742,z5_GND_28819,189.365326,62.222359,0,0,0.001000000047497451,5,2000,TARGET,7336.42155670251,9859.183059407367,B
743,1137,3DHST_24577,189.30999756,62.26285934,0,0,0.001000000047497451,6,2000,TARGET,7679.6748284230525,10202.283689119786,B
40,73,z6_GND_29564,189.379532,62.220028,0,0,0.001000000047497451,3,2000,TARGET,7296.206356508685,9818.985998326245,B
851,1739,z6_GND_30340,189.388916,62.217834,0,0,0.001000000047497451,5,2000,TARGET,7265.76326819392,9788.55660492318,B
46,79,z6_GND_19165,189.347733,62.24987,0,0,0.001000000047497451,3,2000,TARGET,7532.689112243104,10055.363825722665,B
47,80,z6_GND_14309,189.334091,62.263069,0,0,0.001000000047497451,3,2000,TARGET,7636.438757309476,10159.067458487722,B
4,4,Hu10_z6_9,189.342285,62.262852,0,0,0.001000000047497451,1,2000,TARGET,7620.070046517802,10142.706247125336,B
21,35,z5_GND_14430,189.342285,62.262852,0,0,0.001000000047497451,3,2000,TARGET,7620.070046517802,10142.706247125336,B
44,77,z6_GND_23382,189.386108,62.237839,0,0,0.001000000047497451,3,2000,TARGET,7390.28420762028,9913.022854331233,B
850,1738,z5_GND_30288,189.425446,62.217979,0,0,0.001000000047497451,5,2000,TARGET,7199.300460232767,9722.12439312844,B
1,1,Hu10_z6_5,189.399719,62.239494,0,0,0.001000000047497451,1,2000,TARGET,7375.205778181118,9897.951625999804,B
634,904,3DHST_18948,189.41203308,62.23537064,0,0,0.001000000047497451,6,2000,TARGET,7327.988786079776,9850.75584704325,B
620,873,3DHST_17853,189.42883301,62.23045731,0,0,0.001000000047497451,6,2000,TARGET,7267.844283665988,9790.638431354311,B
820,1681,z5_GNW_28602,189.37587,62.27145,0,0,0.001000000047497451,5,2000,TARGET,7610.035466344452,10132.677615880273,B
638,913,3DHST_19121,189.43911743,62.23639679,0,0,0.001000000047497451,6,2000,TARGET,7284.748683563888,9807.536001590312,B
739,1129,3DHST_24350,189.40759277,62.2618103,0,0,0.001000000047497451,6,2000,TARGET,7494.606255157543,10017.300422788307,B
818,1679,z5_GNW_30237,189.418411,62.259842,0,0,0.001000000047497451,5,2000,TARGET,7463.1826610464395,9985.891125332122,B
816,1677,z5_GNW_32760,189.451263,62.241043,0,0,0.001000000047497451,5,2000,TARGET,7290.650714361797,9813.436159195375,B
655,946,3DHST_20170,189.46141052,62.24149704,0,0,0.001000000047497451,6,2000,TARGET,7275.037199560118,9797.830048651855,B
819,1680,z5_GNW_29609,189.436447,62.265049,0,0,0.001000000047497451,5,2000,TARGET,7461.967638759929,9984.677739690347,B
18,31,z6_GNW_30051,189.455215,62.260632,0,0,0.001000000047497451,3,2000,TARGET,7401.592583305492,9924.330111158406,B
823,1684,z5_GNW_24858,189.414474,62.29319,0,0,0.001000000047497451,5,2000,TARGET,7671.110296662238,10193.728249110192,B
822,1683,z5_GNW_25250,189.432602,62.290581,0,0,0.001000000047497451,5,2000,TARGET,7622.964195362024,10145.604275972366,B
688,1008,3DHST_21714,189.50109863,62.24920273,0,0,0.001000000047497451,6,2000,TARGET,7250.328781280537,9773.13505313944,B
807,1401,3DHST_30459,189.44369507,62.29265976,0,0,0.001000000047497451,6,2000,TARGET,7615.784136983739,10138.428147228547,B
23,40,z6_GNW_27915,189.474213,62.2757,0,0,0.001000000047497451,3,2000,TARGET,7458.791384834143,9981.50554362796,B
918,1868,z7_GNW_23317,189.439667,62.302383,0,0,0.001000000047497451,5,2000,TARGET,7681.834844846977,10204.450024100395,B
